toc,title,author1,one,two,title2,author2
Sounds of Nature,Sounds of Nature,"Christina Lai, Michelle Fang","This year, we explored nature and urban life in tandem. From hutongs to Tsinghua's campus, we heard birds chirping. On the left, we hear birds in a hutong in Dongcheng. Below, we hear a bird song in front of Schwarzman College.",,,
,Bird Song,"Arjun Sai, Eli Morimoto","Click the left image to hear a Chinese blackbird perched within Tsinghua. The blackbird comes often after the arrival of spring. Below, we hear the sounds of birds and moped alarms mixed together near Houhai, Beijing.",,,
,Exploring Beyond the City,Serge-Raymond Nzabandora,"Most of us explored villages on the outskirts of Beijing also. Below, watch videos from Gubeikou Water Town and the Great Wall. The chaos of Beijing's urban center is surrounded by serene scenes of nature.",,,
Robots Among Us,Robotic Voices,"Gurchit Chatha, Pearl Xu",Robots live among us in Beijing. On the left is a delivery robot commonly seen in hotels. Below is a robot making knife-cut noodles in a canteen on Tsinghua's campus.,,,
,Robotic Voices,"Raven Witherspoon, Alex Zhao, Chen Xiao","Robotic voices abound in Beijing. The left is the sound of Baidu maps, guiding a bicyclist. Below, hear the familiar sounds of a HelloBike unlocking and a kuaidi tricycle backing up.",,,
Music & Dance,Hidden Flutist,Hasani Arnold,"On the left, we hear the sounds of a mystery musician, hidden in a guard booth, playing the flute.","On the right, we see a symphony conductor practicing his art to a phantom orchestra.",Conducting Air,Gurchit Chatha
,Plaza Dancers,Gurchit Chatha,"Beijing's public spaces are filled with music. Open plaza dancing is a typical scene. With just a speaker and an open space, countless Chinese 'aunts' will gather in the evening to dance.","On the right, volunteers at the Olympic games dance before the opening ceremony.",Olympic Dancers,Lujain Ibrahim
Park Life,Park Life,"Gurchit Chatha, Alex Li","In the midst of the cherry blossom bloom, two women practice their shuttlecock kicking (jianzi). They've both honed their skills for over a decade. In Jingshan, a group of elderly sing 'Daba Guilai,' a popular patriotic song in China. In Qingnian Park, a man plays with his diabolo - hear the traditional toy's buzzing as he spins it.",,,
,Park Life,"Ben Ma, Jenn Hu","Beijing's parks are full of life. In the Temple of Earth, a lady rapped to the clatter of kuaiban (bamboo clappers): 'Today's Beijing is more colorful, dazzling and sparkling, it lights up Beijing ren.' Below an accordionist plays 'Night on the outskirts of Moscow.' On the left, we recorded the clamor of children in Beihai.",,,
Obedience & Respect,Obedience,Christina Lai,"On the left, students at Tsinghua complete their daily nucleic acid testing. Failing to test results in a red Zijing code. This pair of videos, though different, form the two sides of Chinese pride and obedience. ","On the right, tourists and a few locals pack into Tiananmen Square to watch the sunrise flag raising.",Respect,Lujain Ibrahim
Hutongs and Streets,Hutongs and Streets,"Karuna Nandkumar, Christina Lai","The streets and hutong alleys of Beijing bustle with life. The sounds of bicycles overlap with the rush of delivery drivers. Shopkeepers play prerecorded promo slogans. In the hutongs, leisure, business, and residences collide.",,,
Nightlife,Sanlitun Bar,Zhou Yu,"Bars and nightclubs packed with people. For most of our year, nightlife in Beijing happened with the rhythm of the weekend; after lockdown, nights out seemed like a lifetime away.","On the right is Destination, a famous gay club in Beijing.",Destination,Raven Witherspoon
,Nighttime Busker,Raven Witherspoon,"The left is from a wandering singer on the streets of Beijing, and one is from a Schwarzman scholar.","One is on a crowded street, and the other at KTV where everyone is singing.",KTV,Karuna Nandkumar
Concerts & Music,Playhouse Rapper,Trevaughn Latimer,"A tale of two songs. At Playhouse, a common haunt this year, a rapper struts the stage.","At Christmas 2021, scholars sang carols together after the talent show.",A Christmas Carol,Zhou Yu
,Concerts & Music,"Christina Lai, Jenn Hu, Karuna Nandkumar","In Beijing, we found concerts of all kinds in many venues. We heard indie bands play in School and in school auditoriums.",,,
,Concerts & Music,"Zhou Yu, Sally Xu","Scholars joined in bands to sing and play together - though Ilene seems to forgotten to play her part on the flute here. Below, the school shuttle plays ""Little Dimple,"" a classic Chinese love song.",,,
,Tsinghua Orchestra,Trevaughn Latimer,The Tsinghua symphony features talented musicians from all over China.,Musicians from Xinjiang visited the college and performed songs with just a frame drum and rawap.,Xinjiang Music,Trevaughn Latimer
Food,Food,"Selena Guo, Trevaughn Latimer, Hasani Arnold","In C-Lou, cook griddles a 'leng mian' wrap with a hiss. In the Guangdong window on Zijing first floor, a chef chops the barbecue pork with a cleaver. In the seafood market formerly on Tsinghua, a shopowner noisily cleans a fish.",,,
Sports,Athletes Keeping the Rhythm,"Trevaughn Latimer, Vodka Fu","Scholars won first place in tug-of-war this year as part of the schoolwide Ma Cup. The Schwarzman team kept the beat and quickly won the match. On the left, students practice rowing in unison for dragon boat.",,,
,"One Shot, One Goal",Yucheng Tang,Watch Wan Fung Chui make a penalty in this heartstopper.,"At halftime, the Schwarzman men's soccer team boosts their spirits with a huddle and a chant.",Soccer Huddle,Sally Xu
Lockdown,Lockdown,"Sally Xu, Yucheng Tang, Pearl Xu","In May, Tsinghua University entered lockdown. Our classmates sang on the campus fields, had picnics, and chatted under the stars. Later, we started to be unable to order takeout, and we needed to go to a centralized location to get packages. At last, the fences around the school were fortified with planks, and we couldn't see the outside world.",,,
Farewell,"Farewell, Farewell",Sally Xu,"Burdened by the lockdown, many scholars left Beijing early for their hometowns.","We said farewell to Wan Fung, who returned home for an MRI he couldn't get during lockdown.",In Search of MRI,Michelle Fang
